               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046491,            0.076341,            0.019831,             0.66974,             0.54274,             0.62681,             0.41988,            0.041149,            0.039546,            0.013863,              0.0007,              0.0007,              0.0937
                   1,            0.044767,            0.068781,            0.018749,             0.69328,             0.56087,              0.6515,             0.43848,             0.04047,            0.038799,            0.012592,           0.0013515,           0.0013515,            0.086351
                   2,            0.045128,            0.062803,            0.019042,             0.73942,             0.56847,             0.67875,             0.44083,            0.040637,            0.038265,            0.011732,           0.0018446,           0.0018446,            0.078845
                   3,             0.04332,            0.064544,            0.017419,              0.6848,             0.64643,             0.70837,             0.46159,            0.041132,            0.037057,            0.010476,           0.0021793,           0.0021793,            0.071179
                   4,            0.044675,            0.058954,            0.016585,              0.7829,             0.64973,             0.73735,              0.4625,            0.041013,            0.036568,           0.0096668,           0.0023556,           0.0023556,            0.063356
                   5,            0.044795,            0.064008,             0.01541,             0.73834,             0.68889,             0.74853,              0.4903,            0.040076,            0.035897,           0.0090434,           0.0023735,           0.0023735,            0.055374
                   6,            0.043717,            0.061409,             0.01467,             0.80023,             0.64472,             0.75812,             0.48387,            0.040317,            0.035404,           0.0089163,            0.002233,            0.002233,            0.047233
                   7,            0.043079,            0.062745,            0.015784,             0.76263,             0.70947,             0.76924,              0.4966,            0.041156,            0.034309,           0.0079461,           0.0019341,           0.0019341,            0.038934
                   8,            0.043957,             0.06079,             0.01396,             0.78752,              0.7086,             0.78376,             0.52435,            0.038385,            0.033841,           0.0076216,           0.0014768,           0.0014768,            0.030477
                   9,            0.042334,            0.060087,            0.013702,             0.79782,             0.71233,             0.79113,             0.53942,            0.037668,            0.033585,           0.0074205,           0.0008611,           0.0008611,            0.021861
